!SIL	SIL
%	P AH R S EY N T
russian	R AH SH Y AH N
russians	R AH SH IH Y AH N S
russians	R AH SH Y AH N Z
rust	R AH S T
rustle	R AH S AH L
s	EY S
s	S
sacks	S AE K S
sacrifice	S AE K R IH F AY S
sacrifices	S AE K R IH F AY S EH S
sacrifices	S AE K R IH F AY S IH Z
sad	S AE D
sadden	S AE D EH N
saddest	S AE D EY S T
sadly	S AE D L IY
safe	S EY F
safer	S EY F AH R
said	S EH D
said	S EY D
sailed	S EY L D
saint	S EY N T
sale	S EY L
sales	S EY L Z
salt	S AO L T
same	S EY M
sand	S AE N D
sand's	S AE N D S
sandeep	S AH N DH IY P
sands	S AE N D S
sang	S AE NG
sanjay	S AH N JH AH Y
sankalp	S AH N K AH L P
sanskar	S AH N S K AA R
santali	S AA N TH AA L IY
santosh	S AH N TH OW SH
sat	S AE T
satisfaction	S AE T IH S F AE K SH AH N
satisfy	S AE T IH S F AY
saturday	S AE T AH R D EY
sauce	S AO S
savannah	S AA W AH N AA
savannah	S AH W AA N AA
save	S EY W
saved	S EY W D
saving	S EY W IH N G
saw	S AO
say	S EY
saying	S EY IH N G
says	S EY Z
scale	S K EY L
scales	S K EY L S
scales	S K EY L Z
scamp	S K AE M P
scamper	S K AE M P AH R
scampered	S K AE M P AH R D
scan	S K AE N
scanned	S K AE N D
scanner	S K AE N AH R
scape	S K EY P
scapes	S K EY P S
scar	S K AA R
scarce	S K AA R S
scarce	S K EH R S
scarcely	S K AA R S L IY
scare	S K AE R
scared	S K AE R D
scares	S K EH R Z
scarily	S K EY R IH L IY
scaring	S K EY R IH N G
scart	S K AA R T
scary	S K EY R IY
scatter	S K AE T AH R
scattered	S K AE T AH R D
scene	S IY N
scenes	S IY N S
scent	S EY N T
scheme	S K IY M
school	S K UW L
schools	S K UW L S
schumaker	SH UW M EY K AH R
schumaker's	SH UW M EY K AH R S
science	S AA Y AH N S
scientifically	S AY N T IH F IH K L IY
scientist	S AY N T IH S T
scold	S K OW L D
scoop	S K UW P
scooped	S K UW P D
scope	S K OW P
scored	S K OW R D
scores	S K AO R Z
scornfully	S K AO R N F UH L IY
scratch	S K R AE CH
scratched	S K R AE CH D
scratching	S K R AE CH IH N G
scream	S K R IY M
screamed	S K R IY M D
screaming	S K R IY M IH N G
screams	S K R IY M S
screen	S K R IY N
screw	S K R UW
script	S K R IH P T
scrub	S K R AH B
scrubs	S K R AH B Z
se	S EY
sea	S IY
seal	S IY L
search	S AH R CH
searched	S AH R CH D
searching	S AH R CH IH N G
season	S IY Z AH N
seat	S IY T
second	S EH K EH N D
seconds	S EH K EH N D S
seconds	S EH K EH N D Z
secret	S IH K R EY T
see	S IY
seed	S IY D
seeds	S IY D S
seeing	S IY IH N G
seek	S IY K
seeking	S IY K IH N G
seem	S IY M
seemed	S IY M D
seems	S IY M S
seen	S IY N
seize	S IY Z
seized	S IY Z D
select	S IH L EH K T
selected	S IH L EH K T EH D
selected	S IH L EH K T IH D
selection	S IH L EH K SH AH N
self	S EH L F
selfish	S EH L F IH SH
sell	S EH L
selling	S EH L IH N G
selves	S EH L W Z
sen	S EY N
send	S EH N D
sending	S EH N D IH N G
sense	S EH N S
senses	S EH N S EH S
sent	S EH N T
sentence	S EH N T EH N S
separate	S EH P R EY T
separated	S EH P AH R EY T EH D
separates	S EH P R EY T S
serial	S IH R IY AH L
serious	S IY R IY AH S
seriously	S IY R IY AH S L IY
servant	S AH R W AH N T
servants	S AH R W AH N T S
serve	S AH R W
served	S AH R W D
servent	S AH R W EY N T
service	S AH R W IH S
serving	S AH R W IH N G
session	S EY SH AH N
set	S EH T
sets	S EH T S
setting	S EH T IH N G
settle	S EH T AH L
settled	S EH T AH L D
settlement	S EH T AH L M EH N T
seven	S EY W AH N
seventeenth	S EH V EH N T IY N TH
seventeenth	S EH W EH N T IY N TH
seventeenth	S EH W HH EH N T IY N TH
seventh	S EH V AH N TH
several	S EH W R AH L
sew	S Y UH
sexy	S EH K S IY
shabbily	SH AE B IH L IY
shade	SH EY D
shadow	SH AE D OW
shaggy	SH AE G IY
shall	SH AE L
shame	SH EY M
shape	SH EY P
shapes	SH EY P S
sharapova	SH AA R AA P OW V AA
sharapova	SH AA R AA P OW W AA
sharapova	SH AA R AA P OW W HH AA
share	SH EY AH R
shared	SH EY R D
sharing	SH EY R IH N G
shark	SH AA R K
sharp	SH AA R P
sharped	SH AA R P T
sharpshooter	SH AA R P SH UW T AH R
shave	SH EY W
shawl	SH AO L
she	SH IY
she's	SH IY Z
shed	SH EH D
sheep	SH IY P
sheepish	SH IY P IH SH
sheepishly	SH IY P IH SH L IY
sheer	SH IH AH R
sheer	SH IH Y AH R
sheet	SH IY T
shelf	SH EH L F
shell	SH EH L
shells	SH EH L S
shelter	SH EH L T AH R
shepherd	SH EY P AH R D
shift	SH IH F T
shine	SH AY N
shinely	SH AA IH N L IY
shines	SH AA IH N S
shines	SH AY N S
shining	SH AA IH N IH N G
shining	SH AY N IH N G
shiny	SH AY N IY
ship	SH IH P
shipped	SH IH P T
shipping	SH IH P IH N G
ships	SH IH P S
shirt	SH AH R T
shivanna	SH IH W AH N N AA
shiver	SH IH W AH R
shock	SH AO K
shocked	SH AO K D
shod	SH AO D
shoe	SH UW
shoemaker	SH UW M EY K AH R
shoes	SH UW Z
shone	SH OW N
shoot	SH UW T
shooted	SH UW T EH D
shooter	SH UW T AH R
shooting	SH UW T IH N G
shop	SH AO P
shopkeeper	SH AO P K IY P AH R
shopkeepers	SH AO P K IY P AH R S
shopkeepers	SH AO P K IY P AH R Z
shopped	SH AO P D
shopping	SH AO P IH N G
shops	SH AO P S
shore	SH OW R
short	SH AO R T
shortage	SH AO R T EH JH
shorted	SH AO R T IH D
shortened	SH AO R T AH N D
shortens	SH AO R T AH N Z
shorter	SH AO R T AH R
shorting	SH AO R T IH N G
shot	SH AO T
should	SH UH D
shoulder	SH OW L D AH R
shoulders	SH OW L D AH R S
shouldn't	SH UH D AH N T
shout	SH AW T
shouted	SH AW T EH D
shouter	SH AW T AH R
shouting	SH AW T IH N G
show	SH OW
showed	SH OW D
showing	SH OW IH N G
shown	SH OW N
showroom	SH OW R UW M
shree	SH R IY
shrill	SH R IH L
shrink	SH R IH NG K
shrinking	SH R IH NG K IH NG
shrinks	SH R IH NG K S
shrubs	SH R AH B Z
shrugged	SH R AH G D
shut	SH AH T
shutter	SH AH T AH R
shy	SH AY
siberia	S AY B EH R IH Y AA
siberia	S AY B IH R IH AA
siberian	S AY B EH R IH Y AH N
siberian	S AY B IH R IH AH N
sick	S IH K
side	S AY D
sides	S AY D S
sigh	S AY
sighed	S AY D
sight	S AY T
sights	S AY T S
sign	S AY N
signed	S AY N D
signing	S AY N IH NG
signs	S AY N S
signs	S AY N Z
sil	SIL
silence	S AY L EY N S
silent	S AY L EH N T
silently	S AY L AH N T L IY
silk	S IH L K
silky	S IH L K IY
sill	S IH L
silliness	S IH L IY N EH S
silly	S IH L IY
silver	S IH L W AH R
sim	S IH M
simple	S IH M P AH L
simply	S IH M P L IY
sin	S IH N
since	S IH N S
sing	S IH N G
singh	S IH N G
singing	S IH N G IH N G
single	S IH N G AH L
sings	S IH NG Z
sink	S IH N K
sip	S IH P
sir	S AH R
sister	S IH S T AH R
sisters	S IH S T AH R S
sit	S IH T
site	S AY T
sitting	S IH T IH N G
situation	S IH CH Y UH EY SH AH N
situations	S IH CH Y UH EY SH AH N S
six	S IH K S
sixteen	S IH K S T IY N
sixth	S IH K S TH
size	S AY Z
sized	S AY Z D
skates	S K EY T S
skid	S K IH D
skidded	S K IH D EH D
skids	S K IH D S
skids	S K IH D Z
skill	S K IH L
skilled	S K IH L D
skillfully	S K IH L F UH L IY
skills	S K IH L S
skills	S K IH L Z
skip	S K IH P
skipper	S K IH P AH R
skipping	S K IH P IH N G
skirt	S K AH R T
skit	S K IH T
sky	S K AY
slap	S L AE P
slapped	S L AE P D
slave	S L EY V
slaves	S L EY V Z
sleep	S L IY P
sleeping	S L IY P IH N G
sleepy	S L IY P IY
sleeve	S L IY W
sleeves	S L IY V Z
slept	S L EH P T
slice	S L AY S
slight	S L AY T
slightly	S L AY T L IY
slim	S L IH M
slip	S L IH P
slipped	S L IH P D
slipt	S L IH P T
slope	S L OW P
slow	S L OW
slowed	S L OW
slowly	S L OW L IY
slum	S L AH M
sly	S L AY
small	S M AO L
smaller	S M AO L AH R
smalls	S M AO L Z
smart	S M AA R T
smartest	S M AA R T EH S T
smartness	S M AA R T N EH S
smashed	S M AE SH D
smell	S M EH L
smile	S M AY L
smiled	S M AY L D
smiles	S M AY L S
smiling	S M AY L IH N G
smill	S M IH L
smily	S M AY L IY
smith	S M IH TH
smoke	S M OW K
smoking	S M OW K IH N G
smoky	S M OW K IY
smouldering	S M OW L D AH R IH NG
snacks	S N AE K S
snail	S N EY L
snails	S N EY L S
snake	S N EY K
snakes	S N EY K S
snap	S N AE P
snatched	S N AE CH D
sneck	S N EY K
sneeze	S N IY Z
snicker	S N IH K AH R
sniff	S N IH F
sniffed	S N IH F D
sniffing	S N IH F IH N G
sniggins	S N IH G IH N S
snow	S N OW
snows	S N OW Z
snowy	S N OW IY
so	S OW
soap	S OW P
soap's	S OW P S
soaps	S OW P S
soapy	S OW P IY
sob	S AO B
sochungi	S OW CH UW N G IY
social	S OW SH AH L
socialisation	S OW SH AH L AY Z EY SH AH N
socially	S OW SH AH L IY
socks	S AO K S
sod	S AO D
soft	S OW F T
soil	S OY L
soiled	S OY L D
sold	S OW L D
solder	S OW L D AH R
sole	S OW L
solo	S OW L OW
solution	S OW L Y UH SH AH N
solutions	S OW L Y UH SH AH N S
solutions	S OW L Y UH SH AH N Z
solve	S AO L W
some	S AH M
somebody	S AH M B AH D IY
somehow	S AH M HH AW
someone	S AH M W AH N
something	S AH M TH IH N G
somethings	S AH M TH IH N G Z
sometime	S AH M T AY M
sometimes	S AH M T AY M S
somewhere	S AH M W EH R
somewhere	S AH M W EY R
somewhere	S AH M W HH EH R
somewhere	S AH M W HH EY AH R
somewhere	S AH M W HH EY R
son	S AH N
song	S OW N G
sons	S AH N S
soon	S UW N
soothingly	S UW DH IH N G L IY
sorit	S OW R IH TH
sorry	S AO R IY
sort	S AO R T
sorted	S AO R T EH D
sorter	S AO R T AH R
sorting	S AO R T IH N G
soul	S OW L
soulfully	S OW L F UH L IY
souls	S OW L S
sound	S AW N D
sounds	S AW N D S
soup	S UW P
soups	S UW P S
sour	S AW AH R
sour	S AW R
source	S OW R S
sources	S OW R S EH S
south	S AW TH
sow	S OW
sowed	S OW D
space	S P EY S
spaces	S P EY S EH S
spain	S P EY N
span	S P AE N
spare	S P EY R
sparrow	S P AE R OW
sparrow's	S P AE R OW Z
sparrows	S P AE R OW Z
speak	S P IY K
speaking	S P IY K IH N G
special	S P EY SH AH L
specially	S P EY SH AH L IY
specials	S P EH SH AH L Z
specific	S P AH S IH F IH K
specific	S P IH S IH F IH K
specified	S P EH S IH F AY D
specious	S P IY SH AH S
speck	S P EH K
spectacle	S P EH K T EY K AH L
speech	S P IY CH
speechless	S P IY CH L EH S
speed	S P IY D
spell	S P EH L
spelled	S P EY L D
spelling	S P EH L IH NG
spells	S P EH L Z
spelt	S P EH L T
spend	S P EY N D
spent	S P EY N T
spice	S P AY S
spider	S P AY D AH R
spilt	S P IH L T
spindly	S P IH N D L IY
spirits	S P IH R IH T S
spit	S P IH T
splash	S P L AE SH
splashed	S P L AE SH D
splendid	S P L EH N D IH D
split	S P L IH T
splitting	S P L IH T IH NG
spluttering	S P L AH T AH R IH N G
spoil	S P OY L
spoilt	S P OY L T
spoke	S P OW K
spoken	S P OW K AH N
spontaneous	S P AO N T EH N IH AH S
sport	S P OW R T
sported	S P AO R T IH D
sports	S P OW R T S
spot	S P AO T
spots	S P AA T S
spotted	S P AO T EH D
spouse	S P AW Z
sprang	S P R AE N G
spray	S P R EY
spread	S P R EH D
spreading	S P R EY D IH N G
spreed	S P R IY D
sprout	S P R AW T
sprouted	S P R AW T EH D
square	S K W EH R
squeak	S K W IY K
squeaked	S K W IY K D
squeal	S K W IY L
squirmed	S K W AH R M D
squirming	S K W AH R M IH N G
squirrel	S K W IH R AH L
squirrels	S K W IH R AH L S
squirt	S K W IH R T
squit	S K W IH T
sringeri	S R IH N G EY R IY
srinivas	S R IH N IH W AA S
srinivas's	S R IH N IH W AA S EH S
srishti	S R IH SH T IY
sristy	S R IH S T IY
stage	S T EY JH
stain	S T EY N
stainers	S T EY N AH R S
staining	S T EY N IH N G
stains	S T EY N S
stairs	S T EH AH R S
stairs	S T EH R S
stairs	S T EH R Z
stairs	S T EY R S
stairs	S T EY R Z
stake	S T EY K
stalk	S T AO K
stand	S T AE N D
standard	S T AE N D AH R D
standing	S T AE N D IH N G
stang	S T AE N G
star	S T AA R
starch	S T AA R CH
stare	S T EY R
stared	S TH EY AH R D
starfish	S T AA R F IH SH
staring	S T EY AH R IH N G
starred	S T AA R D
start	S T AA R T
started	S T AA R T EH D
starter	S T AA R T AH R
starting	S T AA R T IH N G
startled	S T AA R T AH L D
starts	S T AA R T S
starving	S T AA R W IH N G
state	S T EY T
stated	S T EY T EH D
stated	S T EY T IH D
states	S T EY T S
station	S T EY SH AH N
stationery	S T EY SH N AH R IY
stay	S T EY
stayed	S T EY D
staying	S T EY IH NG
stays	S T EY Z
steadily	S T EH D AH L IY
steady	S T EH D IY
steak	S T EY K
steal	S T IY L
stealing	S T IY L IH N G
steam	S T IY M
steel	S T IY L
steep	S T IY P
steeps	S T IY P S
steered	S T IY AH R D
stem	S T EH M
step	S T EH P
stepped	S T EH P D
steps	S T EH P S
stew	S T Y UW
stick	S T IH K
sticks	S T IH K S
sticky	S T IH K IY
stiff	S T IH F
still	S T IH L
sting	S T IH N G
stink	S T IH N K
stir	S T AH R
stitch	S T IH CH
stitched	S T IH CH D
stock	S T AO K
stole	S T OW L
stolen	S T OW L AH N
stomach	S T AH M AH K
stone	S T OW N
stones	S T OW N S
stood	S T UH D
stool	S T UW L
stop	S T AO P
stopped	S T AO P D
stopping	S T AA P IH NG
storage	S T OW R EH JH
storage	S T OW R IH JH
store	S T OW R
stores	S T OW R S
stories	S T OW R IH Z
storing	S T OW R IH N G
storm	S T AO R M
story	S T OW R IY
stout	S T AW T
straight	S T R EY T
straightened	S TH R EH T AH N D
strain	S T R EY N
straining	S T R EY N IH N G
strange	S T R EY N JH
stranger	S T R EY N JH AH R
strangers	S T R EY N JH AH R S
streak	S T R IY K
stream	S T R IY M
street	S T R IY T
strength	S T R EH N TH
stretch	S T R EH CH
stretched	S T R EH CH D
stretching	S T R EH CH IH N G
strick	S T R IH K
stricks	S T R IH K S
strict	S T R IH K T
stride	S T R AY D
strikes	S T R AY K S
striking	S T R AY K IH N G
string	S T R IH N G
strings	S T R IH N G Z
strip	S T R IH P
stripe	S T R AY P
striped	S T R AY P D
strips	S T R IH P S
strong	S T R AO N G
stronger	S T R AO N G AH R
struck	S T R AH K
struggle	S T R AH G AH L
struggled	S T R AH G AH L D
strung	S T R AH N G
stuck	S T AH K
student	S T UH DH AH N T
student	S T UH DH EH N T
students	S T UH DH AH N T S
students	S T UH DH EH N T S
studied	S T AH D IY D
studio	S T UW D IY OW
study	S T AH D IY
studying	S T AH D IY IH N G
stumbled	S T AH M B AH L D
stump	S T AH M P
stumps	S T AH M P S
stung	S T AH N G
stupid	S T UW P AH D
stupid	S T UW P IH D
style	S T AY L
sub	S AH B
subject	S AH B JH EH K T
subjects	S AH B JH EH K T S
submit	S AH B M IH T
subramaniam	S UH B R AH M AH N Y AH M
succeed	S AH K S IY D
success	S AH K S EH S
such	S AH CH
suchanek	S AH K AH N EH K
suchanek	S UH CH AA N EH K
suck	S AH K
sucks	S AH K S
sudden	S AH D EH N
suddenly	S AH D AH N L IY
sue	S Y UW
sued	S Y UW D
sufficient	S AH F IH SH IY AH N T
sugar	SH UH G AH R
sugarcane	SH UH G AH R K EY N
suggest	S AH JH EH S T
suggested	S AH JH EH S T EH D
suggesting	S AH JH EH S T IH N G
suicide	S UW IH S AY D
suicides	S UW IH S AY D S
suicides	S UW IH S AY D Z
suited	S UW T EH D
sulivan	S UW L AH V AH N
sullivan	S AH L IH V AH N
sullivan	S AH L IH W AH N
sullivan	S AH L IH W HH AH N
sum	S AH M
summary	S AH M AH R IY
summer	S AH M AH R
summit	S AH M IH T
sums	S AH M S
sun	S AH N
sunday	S AH N D EY
sung	S AH NG
sunny	S AH N IY
sunrise	S AH N R AY Z
suns	S AH N S
sunset	S AH N S EH T
sunshine	S AH N SH AY N
super	S UH P AH R
supplied	S AH P L AY D
support	S AH P AO R T
supported	S AH P AO R T AH D
supported	S AH P AO R T IH D
supports	S AH P AO R T S
suppose	S AH P OW Z
sure	SH AO R
sure	SH Y AO R
surely	SH OW R L IY
suresh	S UH R EY SH
surprise	S AH R P R AY Z
surprised	S AH R P R AY Z D
surprising	S AH R P R AY Z IH N G
surprisingly	S AH R P R AY Z IH N G L IY
surrounding	S AH R AW N D IH NG
survey	S AH R V EY
surveyants	S AH R W EY Y AH N T S
survival	S AH R V AY V AH L
survive	S AH R W AY W
survived	S AH R W AY W D
survivor	S AH R V AY V AH R
survivor	S AH R W AY W AH R
survivor	S AH R W HH AY W HH AH R
suspensions	S AH S P EH N SH AH N Z
suspicious	S AH S P IH SH AH S
swam	S W AE M
swamp	S W AA M P
swamp	S W AO M P
swamps	S W AO M P S
swan	S W AA N
swap	S W AE P
swap	S W AO P
swapped	S W AE P D
swapped	S W AO P D
sway	S W EY
swaying	S W EY IH N G
sweat	S W EH T
sweeped	S W IY P D
sweet	S W IY T
sweetly	S W IY T L IY
sweets	S W IY T S
swell	S W EH L
swept	S W EH P T
swift	S W IH F T
swiftly	S W IH F T L IY
swim	S W IH M
swimmer	S W IH M AH R
swimmers	S W IH M AH R S
swimmers	S W IH M AH R Z
swimmimg	S W IH M IH N G
swimming	S W IH M IH N G
swims	S W IH M Z
swing	S W IH N G
swinging	S W IH NG IH NG
swipe	S W AY P
swiping	S W AY P IH N G
swishing	S W IH SH IH N G
switch	S W IH CH
switched	S W IH CH D
swoop	S W UW P
swooped	S W UW P D
symbiosis	S IH M B AA Y OW S IH S
system	S IH S T AH M
system	S IH S T IH M
t	T IY
table	T EY B AH L
tack	T AE K
tackle	T AE K AH L
taffy	T AE F IY
tag	T AE G
tail	T EY L
tailor	T EY L AH R
tails	T EY L S
take	T EY K
taken	T EY K EH N
takes	T EY K S
taking	T EY K IH N G
talc	T AE L K
talent	T AE L AH N T
talent	T AE L EH N T
talk	T AO K
talkative	T AO K EY T IH W
talked	T AO K D
talking	T AO K IH N G
talks	T AO K S
tall	T AO L
tame	T EY M
tangle	T AE N G AH L
tank	T AE N K
tap	T AE P
tape	T EY P
tapped	T AE P D
taps	T AE P S
tare	T EY R
target	T AA R G EH T
targeted	T AA R G EH T EH D
targets	T AA R G EH T S
task	T AE S K
taste	T EY S T
tasty	T EY S T IY
taught	T AO T
tax	T AE K S
tea	T IY
teach	T IY CH
teacher	T IY CH AH R
teacher's	T IY CH AH R S
teachers	T IY CH AH R S
teaching	T IY CH IH NG
team	T IY M
teams	T IY M S
tear	T IY AH R
tears	T IY AH R S
tease	T IY Z
teases	T IY Z EH S
teasing	T IY Z IH N G
ted	T EH D
teen	T IY N
teenager	T IY N EY JH AH R
teeth	T IY TH
telegram	T EH L AH G R AE M
television	T EH L AH V IH JH AH N
television	T EH L AH V IH ZH AH N
television	T EH L AH W HH IH JH AH N
television	T EH L AH W HH IH ZH AH N
television	T EH L AH W IH JH AH N
television	T EH L AH W IH ZH AH N
television	T EH L IH V HH IH JH AH N
television	T EH L IH W HH HH IH JH AH N
television	T EH L IH W HH IH JH AH N
tell	T EH L
telling	T EH L IH N G
tells	T EY L S
temper	T EH M P AH R
temperature	T EH M P AH R EH CH AH R
temperature	T EH M P R EH CH AH R
temple	T EH M P AH L
tempt	T EH M P T
tempting	T EH M P T IH N G
ten	T EH N
tend	T EH N D
tender	T EH N D AH R
tennis	T EH N IH S
tens	T EH N Z
tense	T EH N S
tension	T EH N SH AH N
tent	T EH N T
tenth	T EH N TH
term	T AH R M
termed	T AH R M D
terminate	T AH R M AH N EY T
termite	T AH R M AY T
terms	T AH R M S
terms	T AH R M Z
terrace	T AE R EH S
terrible	T EH R IH B AH L
terror	T EH R AH R
test	T EH S T
tested	T EH S T EH D
testing	T EH S T IH N G
tests	T EH S T S
tetanus	T EH T AE N AH S
tetanus	T EH T N AH S
tex	T EH K S
text	T EH K S T
textbook	T EH K S T B UH K
textbooks	T EH K S T B UW K S
than	TH AE N
thank	TH AE N K
thanked	TH AE N K D
thanks	TH AE N K S
that	DH AE T
that'll	DH AE T L
that'll	DH AE T W IH L
that's	DH AE T S
thats	DH AE T S
the	DH AH
theatrical	TH IH AE T R IH K AH L
theatrical	TH IH EH T R IH K AH L
their	DH EY AH R
their	DH EY R
theirs	DH EY R S
them	DH EH M
theme	TH IY M
themself	DH EH M S EH L F
themselve	DH EH M S EH L W
themselves	DH EH M S EH L W Z
then	DH EH N
there	DH AE R
there	DH EY AH R
there's	DH EY AH R Z
thereafter	DH EH R AA F T AH R
thereafter	DH EY R AA F T AH R
therefore	DH EH R F OW R
therefore	DH EY R F OW R
these	DH IY Z
they	DH EY
they've	DH EY HH AE W
they've	DH EY W
thick	TH IH K
thief	TH IY F
thieve	TH IY V
thieves	TH IY W Z
thin	TH IH N
thing	TH IH N G
things	TH IH N G Z
think	TH IH N K
thinking	TH IH N K IH N G
thinks	TH IH N K S
third	TH AH R D
thirst	TH AH R S T
thirsty	TH AH R S T IY
thirteen	TH AH R T IY N
thirteenth	TH AH R T IY N TH
thirties	TH AH R T IY Z
thirty	TH AH R T IY
this	DH HH IH S
this	DH IH S
thorn	TH AO R N
thorns	TH AO R N S
those	DH OW Z
though	DH OW
thought	TH AO T
thoughts	TH AO T S
thousand	TH AW Z AH N D
thousands	TH AW Z AH N D S
thraw	TH R AO
thraw	TH R AW
thread	TH R EH D
threatened	TH R EH T AH N D
three	TH R IY
threw	TH R Y UW
thrilled	TH R IH L D
thrilling	TH R IH L IH N G
throat	TH R OW T
thrones	TH R OW N S
thrones	TH R OW N Z
through	TH R UW
throughout	TH R UW AW T
throught	TH R AO T
throw	TH R OW
throwing	TH R OW IH N G
thrown	TH R OW N
throws	TH R OW Z
thumb	TH AH M
thump	TH AH M P
thumped	TH AH M P D
thumping	TH AH M P IH N G
thumps	TH AH M P S
thundercloud	TH AH N D AH R K L AW D
thunderclouds	TH AH N D AH R K L AW D S
thus	DH AH S
tick	T IH K
ticket	T IH K IH T
tickle	T IH K AH L
tickled	T IH K AH L D
ticklish	T IH K L IH SH
tide	T AY D
tidier	T AY D IH AH R
tidier	T AY D IH Y AH R
tie	T AY
tied	T AY D
ties	T AY Z
tiff	T IH F
tiger	T AY G AH R
tight	T AY T
tighter	T AY T AH R
tightly	T AY T L IY
til	T IH L
tile	T AY L
tiles	T AY L Z
till	T IH L
time	T AY M
time's	T AY M S
timed	T AY M D
timeframe	T AY M F R EY M
times	T AY M Z
timid	T IH M IH D
tin	T IH N
tina	T IY N AA
tinder	T IH N D AH R
tiny	T AY N IY
tip	T IH P
tips	T IH P S
tiptoed	T IH P T OW D
tiptoes	T IH P T OW Z
tiptop	T IH P T AO P
tire	T AY R
tired	T AY R D
title	T AY T AH L
to	T UW
toast	T OW S T
toasts	T OW S T S
today	T UH D EY
today's	T UH D EY Z
toe	T OW
toes	T OW Z
together	T UH G EH DH AH R
togethers	T UH G EH DH AH R S
toh	TH OW
toilet	T OY L EH T
told	T OW L D
tolerate	T AO L AH R EY T
toll	T OW L
tolls	T OW L S
tolls	T OW L Z
tom	T AO M
tom	TH AO M
tomato	T OW M AE T OW
tomb	T AO M B
tomb	T UW M B
tomb-stone	T AO M B S T OW N
tomb-stone	T UW M B S T OW N
tomb-stones	T AO M B S T OW N S
tomb-stones	T UW M B S T OW N S
tombs	T AO M B Z
tombs	T UW M B Z
tombstones	T AO M B S T OW N S
tombstones	T UW M B S T OW N S
tommy	T AO M IY
tomorrow	T UH M AO R OW
tomorrow's	T UH M AO R OW Z
toms	T AO M S
toms	T AO M Z
tone	T OW N
tones	T OW N S
tones	T OW N Z
tongue	T AH N G
tonight	T UH N AY T
too	T UW
tooi	T UW IY
took	T UH K
tool	T UW L
tooled	T UW L D
tools	T UW L S
toon	T UW N
tooth	T UW TH
top	T AO P
topic	T AA P IH K
tops	T AO P S
torch	T AO R CH
tore	T OW R
tortoise	T AO R T OY Z
tortoises	T AO R T OY Z EH S
toss	T AO S
tossed	T AO S D
tot	T AA T
total	T OW T AH L
totally	T OW T AH L IY
touch	T AH CH
touched	T AH CH D
touching	T AH CH IH NG
toughness	T AH F N EH S
toured	T UW R D
tourist	T UW R IH S T
toward	T UH W AH R D
towards	T UH W AH R D S
towers	T AO W AH R S
town	T AW N
towns	T AW N Z
toy	T AO Y
toy	T OY
toys	T OY Z
trace	T R EY S
track	T R AE K
tracking	T R AE K IH N G
trade	T R EY D
traders	T R EY D AH R S
traditional	T R AE D IH SH N AH L
traditional	T R AH D IH SH AH N AH L
trail	T R EY L
trailer	T R EY L AH R
train	T R EY N
trained	T R EY N D
trainers	T R EY N AH R S
training	T R EY N IH N G
transform	T R AA N S F AO R M
translated	T R AA N S L EY T EH D
translated	T R AA N S L EY T IH D
transported	T R AA N S P OW R T EH D
transported	T R AE N S P OW R T IH D
trap	T R AE P
trapped	T R AE P D
traps	T R AE P S
travel	T R AE V AH L
travel	T R AE W AH L
travel	T R AE W HH AH L
traveled	T R AE V AH L D
traveling	T R AE W AH L IH N G
travels	T R AE V AH L Z
traversing	T R AE W AH R S IH N G
tray	T R EY
tread	T R EY D
treasure	T R EH Z AH R
treasures	T R EH Z AH R S
treat	T R IY T
treble	T R EH B AH L
tree	T R IY
tree-cutter	T R IY K AH T AH R
treecutter	T R IY K AH T AH R
trees	T R IY Z
tremble	T R EH M B AH L
trembled	T R EH M B AH L D
trembles	T R EH M B AH L S
tremors	T R EH M AH R S
tremors	T R EH M AH R Z
trend	T R EH N D
trending	T R EH N D IH N G
tress	T R EH S
triangle	T R AE N G AH L
triangle	T R AY AE N G AH L
tribal	T R AY B AH L
tribe	T R AY B
tribes	T R AY B Z
trick	T R IH K
tricks	T R IH K S
tricky	T R IH K IY
tried	T R AY D
trim	T R IH M
trip	T R IH P
tripe	T R AY P
trouble	T R AH B AH L
troubles	T R AH B AH L S
troubling	T R AH B L IH N G
truck	T R AH K
trucked	T R AH K D
trucks	T R AH K S
trudge	T R AH JH
trudged	T R AH JH D
true	T R UW
trug	T R AH G
trugged	T R AH G D
trumpeted	T R AH M P EH T EH D
trunk	T R AH N K
trust	T R AH S T
trusty	T R AH S T IY
truth	T R UH TH
try	T R AY
trying	T R AA IH N G
trying	T R AY IH N G
tsunami	S UW N AA M IY
tsunami	T S UW N AA M IY
tuck	T AH K
tucked	T AH K D
tucket	T AH K EY T
tugged	T AH G D
tumbler	T AH M B L AH R
tune	T UW N
tung	T AH NG
turbulent	T AH R B Y UH L AH N T
turn	T AH R N
turned	T AH R N D
turning	T AH R N IH N G
turtle	T AH R T AH L
turtles	T AH R T AH L S
tussles	T AH S AH L S
tussles	T AH S AH L Z
tweet	T W IY T
twelve	T W EH L W
twenties	T W EH N T IY Z
twenty	T W EY N T IY
twins	T W IH N Z
twitter	T W IY T AH R
twittering	T W IH T AH R IH NG
two	T UW
type	T AY P
types	T AY P S
typhus	T AY F AH S
typical	T IH P IH K AH L
typing	T AY P IH NG
tyrant	T AY R AH N T
tyrants	T AY R AH N T S
u	Y UH
uff	UH F
uh	AH
umpire	AH M P AY AH R
umpires	AH M P AY AH R S
umpires	AH M P AY AH R Z
