!SIL	SIL
old	OW L D
on	AO N
once	W AH N S
one	W AH N
only	OW N L IY
onto	AO N T UW
open	OW P AH N
option	AO P SH AH N
or	AO R
order	AO R D AH R
ordered	AO R D AH R D
organized	AO R G AH N AY Z D
other	AH DH AH R
others	AH DH AH R S
others	AH DH AH R Z
others'	AH DH AH R S
others'	AH DH AH R Z
our	AA R
ourself	AA R S EH L F
ourselves	AA R S EH L V Z
ourselves	AA R S EH L W Z
out	AW T
outside	AW T S AY D
over	OW V AH R
over	OW W AH R
overlapped	OW V AH R L AE P D
overlapped	OW W AH R L AE P D
own	OW N
owner	OW N AH R
pack	P AE K
packs	P AE K S
paid	P EY D
pain	P EY N
paint	P EY N T
painted	P EY N T EH D
paise	P EY S EY
pan	P AE N
panther	P AE N TH AH R
paper	P EY P AH R
pardon	P AA R D AH N
parent	P AE R EH N T
parents	P AE R EH N T S
park	P AA R K
part	P AA R T
parts	P AA R T S
party	P AA R T IY
pass	P AA S
passed	P AA S D
passing	P AA S IH NG
past	P AA S T
pat	P AE T
path	P AA TH
patrick	P AE T R IH K
patterns	P AE T AH R N S
pause	P AO Z
paused	P AO Z D
pausing	P AO Z IH NG
paws	P AW Z
pay	P EY
payment	P EY M EH N T
pays	P EY Z
peace	P IY S
peel	P IY L
peep	P IY P
peeped	P IY P D
pen	P EH N
penalty	P EH N AH L T IY
pens	P EH N S
people	P IY P AH L
people's	P IY P AH L S
people's	P IY P AH L Z
per	P AH R
perform	P AH R F AO R M
person	P AH R S AH N
person's	P AH R S AH N S
persuasive	P AH R S UH EY S IH V
persuasive	P AH R S UH EY S IH W
pest	P EH S T
pesticides	P EH S T IY S AY D S
pests	P EH S T S
pet	P EH T
peter	P IY T AH R
peter's	P IY T AH R S
pets	P EH T S
pick	P IH K
picked	P IH K D
picking	P IH K IH NG
picnic	P IH K N IH K
pictures	P IH CH AH R S
pictures	P IH K CH AH R S
piece	P IY S
pieces	P IY S EH S
pipe	P AY P
pit	P IH T
place	P L EY S
placed	P L EY S D
plan	P L AE N
plane	P L EY N
plant	P L AA N T
planted	P L AA N T EH D
plants	P L AA N T S
plate	P L EY T
play	P L EY
played	P L EY D
playing	P L EY IH NG
please	P L IY Z
ploy	P L OY
plucked	P L AH K D
point	P OY N T
pointed	P OY N T EH D
pointing	P OY N T IH NG
polar	P OW L AA R
pond	P AO N D
pool	P UW L
poor	P UW AH R
pose	P OW Z
position	P OW Z IH SH AH N
possession	P AH Z EH SH AH N
possessions	P AH Z EH SH AH N S
possessions	P AH Z EH SH AH N Z
possible	P AO S IH B AH L
post	P OW S T
pot	P AO T
potato	P OW T AE T OW
potatoes	P OW T AE T OW Z
pots	P AO T S
poured	P OW R D
practice	P R AE K T IH S
pradeep	P R AH DH IY P
praised	P R EY Z D
prank	P R AE N K
pranks	P R AE N K S
prateek	P R AH TH IY K
precious	P R EH SH AH S
present	P R EH Z EH N T
present	P R IH Z EH N T
presented	P R EH Z EH N T EH D
pretending	P R IH T EH N D IH NG
pretentious	P R IH T EH N SH AH S
pretty	P R IH T IY
price	P R AY S
prime	P R AY M
problem	P R AO B L AH M
problems	P R AO B L AH M S
produce	P R OW D Y UW S
products	P R AO D AH K T S
pronounced	P R OW N AW N S D
property	P R AO P AH R T IY
proposed	P R AH P OW Z D
prove	P R UW V
prove	P R UW W
proves	P R UW V Z
proves	P R UW W Z
public	P AH B L IH K
puddle	P AH D AH L
pull	P UH L
pulled	P UH L D
pumpkin	P AH M K IH N
pumpkins	P AH M K IH N S
punish	P AH N IH SH
purchase	P AH R CH EY S
purchased	P AH R CH EY S D
push	P UH SH
put	P UH T
put	P UH TH
quality	K W AA L IH T IY
quench	K W EH N CH
quenched	K W EH N CH D
question	K W EH S CH AH N
questions	K W EH S CH AH N S
queue	K Y UW
quickly	K W IH K L IY
quite	K W AY T
race	R EY S
rain	R EY N
ram	R AA M
ram	R AE M
ram's	R AA M S
ramesh	R AH M EY SH
ran	R AE N
rank	R AE N K
rat	R AE T
rats	R AE T S
ray	R EY
reach	R IY CH
reached	R IY CH D
reaction	R IY AE K SH AH N
realize	R IY AH L AY Z
realized	R IY AH L AY Z D
really	R IY AH L IY
reason	R IY Z AH N
receipt	R IH S IH T
receive	R IH S IY V
receive	R IH S IY W
received	R IH S IY V D
received	R IH S IY W D
recipe	R EH S IH P IY
recovered	R IH K AH V AH R D
recovered	R IH K AH W AH R D
reduce	R IH D Y UW S
reduced	R IH D Y UW S D
reducing	R IH D Y UW S IH NG
reflection	R IH F L EY K SH AH N
refrigerator	R EH F R IH JH AH R EY T AH R
refused	R IH F Y UW S D
regularly	R EH G Y UH L AH R
relatives	R IH L EY T IH V Z
relatives	R IH L EY T IH W Z
release	R IH L IY Z
released	R IH L IY Z D
relieve	R IH L IY V
relieve	R IH L IY W
relieved	R IH L IY V D
relieved	R IH L IY W D
remain	R IH M EY N
remains	R IH M EY N S
remains	R IH M EY N Z
remember	R IH M EH M B AH R
remove	R IH M UW V
remove	R IH M UW W
removed	R IH M UW V D
removed	R IH M UW W D
removing	R IH M UW V IH NG
removing	R IH M UW W IH NG
repainting	R IH P EY N T IH NG
replaced	R IH P L EY S D
replacement	R IH P L EY S M EH N T
replay	R IH P L EY
replayed	R IH P L EY D
replied	R IH P L AY D
reply	R IH P L AY
rescue	R EH S K Y UW
research	R IH S AH R CH
resource	R IH S OW R S
resources	R IH S OW R S EH S
respect	R IH S P EY K T
respective	R IH S P EY K T IH V
respective	R IH S P EY K T IH W
respond	R IH S P AO N D
response	R IH S P AO N S
restaurant	R EH S T AO R AE N T
restaurant	R EH S T R AO N
restoring	R IH S T OW R IH NG
result	R IH Z AH L T
retired	R IH T AY R D
return	R IH T AH R N
returned	R IH T AH R N D
returning	R IH T AH R N IH NG
returns	R IH T AH R N S
rewarded	R IH W AO R D EH D
rice	R AY S
rich	R IH CH
ricky	R IH K IY
ricky's	R IH K IY Z
riding	R AY D IH NG
right	R AY T
rising	R AY Z IH NG
rita	R IY T AA
river	R IH V AH R
river	R IH W AH R
riverside	R IH V AH R S AY D
riverside	R IH W AH R S AY D
road	R OW D
roaming	R OW M IH NG
rode	R OW D
room	R UW M
root	R UW T
roots	R UW T S
rope	R OW P
route	R UW T
row	R OW
rubbing	R AH B IH NG
ruin	R UW IH N
ruled	R UW L D
run	R AH N
running	R AH N IH NG
rupees	R UH P IY Z
rushing	R AH SH IH NG
sad	S AE D
said	S EH D
saint	S EY N T
salt	S AO L T
same	S EY M
sand	S AE N D
sat	S AE T
satisfaction	S AE T IH S F AE K SH AH N
satisfy	S AE T IH S F AY
save	S EY V
save	S EY W
saved	S EY V D
saved	S EY W D
saving	S EY V IH NG
saving	S EY W IH NG
saw	S AO
say	S EY
saying	S EY IH NG
scales	S K EY L S
scales	S K EY L Z
scan	S K AE N
scar	S K AA R
scarcely	S K AA R S L IY
scare	S K AE R
scared	S K AE R D
scatter	S K AE T AH R
scattered	S K AE T AH R D
school	S K UW L
science	S AA Y AH N S
scientist	S AY N T IH S T
scornfully	S K AO R N F UH L IY
scratching	S K R AE CH IH NG
screamed	S K R IY M D
screaming	S K R IY M IH NG
sea	S IY
seals	S IY L S
search	S AH R CH
searching	S AH R CH IH NG
second	S EH K EH N D
see	S IY
seed	S IY D
seeing	S IY IH NG
seem	S IY M
seemed	S IY M D
seen	S IY N
self	S EH L F
sell	S EH L
selves	S EH L V Z
selves	S EH L W Z
send	S EH N D
sense	S EH N S
sentence	S EH N T EH N S
separate	S EH P R EY T
separated	S EH P AH R EY T EH D
seriously	S IY R IY AH S L IY
servant	S AH R V AH N T
servant	S AH R W AH N T
servants	S AH R V AH N T S
servants	S AH R W AH N T S
served	S AH R V D
served	S AH R W D
set	S EH T
settlement	S EH T AH L M EH N T
shade	SH EY D
sharp	SH AA R P
sharpshooter	SH AA R P SH UW T AH R
she	SH IY
sheep	SH IY P
sheepishly	SH IY P IH SH L IY
shepherd	SH EY P AH R D
shine	SH AY N
ship	SH IH P
ships	SH IH P S
shocked	SH AO K D
shoe	SH UW
shoot	SH UW T
shooting	SH UW T IH NG
shop	SH AO P
shopkeeper	SH AO P K IY P AH R
shore	SH OW R
short	SH AO R T
shorting	SH AO R T IH NG
shot	SH AO T
should	SH UH D
shout	SH AW T
shouted	SH AW T EH D
shouting	SH AW T IH NG
show	SH OW
showed	SH OW D
showing	SH OW IH NG
showroom	SH OW R UW M
shy	SH AY
side	S AY D
sigh	S AY
sight	S AY T
sign	S AY N
silence	S AY L EY N S
silliness	S IH L IY N EH S
silly	S IH L IY
simple	S IH M P AH L
since	S IH N S
single	S IH NG G AH L
sir	S AH R
sister	S IH S T AH R
sisters	S IH S T AH R S
sit	S IH T
site	S AY T
sitting	S IH T IH NG
situation	S IH CH Y UH EY SH AH N
skid	S K IH D
skidded	S K IH D EH D
skirt	S K AH R T
sky	S K AY
slap	S L AE P
slapped	S L AE P D
sleep	S L IY P
sleeping	S L IY P IH NG
sleeve	S L IY V
sleeve	S L IY W
slept	S L EH P T
slipped	S L IH P D
slowly	S L OW L IY
small	S M AO L
smaller	S M AO L AH R
smart	S M AA R T
smartness	S M AA R T N EH S
smashed	S M AE SH D
smell	S M EH L
smiled	S M AY L D
smoke	S M OW K
snatched	S N AE CH D
sniff	S N IH F
sniffed	S N IH F D
so	S OW
soft	S OW F T
soil	S OY L
sold	S OW L D
solution	S OW L Y UH SH AH N
some	S AH M
somehow	S AH M HH AW
someone	S AH M W AH N
something	S AH M TH IH NG
somethings	S AH M TH IH NG Z
son	S AH N
soon	S UW N
sort	S AO R T
sorting	S AO R T IH NG
soup	S UW P
source	S OW R S
space	S P EY S
spare	S P EY R
speak	S P IY K
speechless	S P IY CH L EH S
spindly	S P IH N D L IY
splashed	S P L AE SH D
spoke	S P OW K
spoken	S P OW K AH N
spot	S P AO T
sprang	S P R AE NG
stain	S T EY N
stains	S T EY N S
stand	S T AE N D
standing	S T AE N D IH NG
starfish	S T AA R F IH SH
start	S T AA R T
started	S T AA R T EH D
startled	S T AA R T AH L D
state	S T EY T
stationery	S T EY SH N AH R IY
stay	S T EY
steal	S T IY L
stealing	S T IY L IH NG
stem	S T EH M
step	S T EH P
stepped	S T EH P D
stew	S T Y UW
stick	S T IH K
sticks	S T IH K S
stiff	S T IH F
still	S T IH L
stole	S T OW L
stomach	S T AH M AH K
stone	S T OW N
stones	S T OW N S
stood	S T UH D
stop	S T AO P
stopped	S T AO P D
store	S T OW R
storm	S T AO R M
story	S T OW R IY
stout	S T AW T
straight	S T R EY T
strain	S T R EY N
strange	S T R EY N JH
stranger	S T R EY N JH AH R
stretching	S T R EH CH IH NG
striking	S T R AY K IH NG
strong	S T R AO NG
stronger	S T R AO NG G AH R
struck	S T R AH K
struggle	S T R AH G AH L
struggled	S T R AH G AH L D
stuck	S T AH K
student	S T UH DH AH N T
students	S T UH DH AH N T S
studied	S T AH D IY D
subject	S AH B JH EH K T
succeed	S AH K S IY D
such	S AH CH
suck	S AH K
suddenly	S AH D AH N L IY
sufficient	S AH F IH SH IY AH N T
suicide	S UW IH S AY D
sum	S AH M
summer	S AH M AH R
sun	S AH N
sunny	S AH N IY
sunshine	S AH N SH AY N
sure	SH AO R
surely	SH AO R L IY
suresh	S UH R EY SH
surprise	S AH R P R AY Z
surprised	S AH R P R AY Z D
surprisingly	S AH R P R AY Z IH NG L IY
survive	S AH R V AY V
survive	S AH R W AY W
swam	S W AE M
swim	S W IH M
switch	S W IH CH
switched	S W IH CH D
swooped	S W UW P D
tackle	T AE K AH L
taffy	T AE F IY
tail	T EY L
tails	T EY L S
take	T EY K
takes	T EY K S
taking	T EY K IH NG
talk	T AO K
talking	T AO K IH NG
tall	T AO L
target	T AA R G EH T
targeted	T AA R G EH T EH D
targets	T AA R G EH T S
taught	T AO T
tea	T IY
teacher	T IY CH AH R
teacher's	T IY CH AH R S
team	T IY M
tear	T EY R
tear	T IH AH R
teases	T IY Z EH S
teasing	T IY Z IH NG
tell	T EH L
telling	T EH L IH NG
temper	T EH M P AH R
ten	T EH N
tense	T EH N S
terrace	T AE R EH S
terror	T EH R AH R
test	T EH S T
tested	T EH S T EH D
testing	T EH S T IH NG
tests	T EH S T S
tetanus	T EH T AE N AH S
tetanus	T EH T N AH S
than	TH AE N
thank	TH AE N K
thanked	TH AE N K D
thanks	TH AE N K S
that	DH AE T
that's	DH AE T S
the	DH AH
their	DH EY AH R
their	DH EY R
them	DH EH M
themself	DH EH M S EH L F
themselves	DH EH M S EH L V Z
themselves	DH EH M S EH L W Z
then	DH EH N
there	DH AE R
these	DH IY Z
they	DH EY
they've	DH EY HH AE V
they've	DH EY HH AE W
they've	DH EY V
they've	DH EY W
thick	TH IH K
thief	TH IY F
thieves	TH IY V Z
thieves	TH IY W Z
thing	TH IH NG
things	TH IH NG Z
think	TH IH NG K
thinking	TH IH NG K IH NG
third	TH AH R D
thirst	TH AH R S T
thirsty	TH AH R S T IY
this	DH IH S
thorns	TH AO R N S
those	DH OW Z
though	DH OW
thought	TH AO T
thoughts	TH AO T S
thousand	TH AW Z AH N D
thousands	TH AW Z AH N D S
three	TH R IY
threw	TH R Y UW
throat	TH R OW T
thrones	TH R OW N S
thrones	TH R OW N Z
through	TH R UW
throw	TH R OW
throwing	TH R OW IH NG
thrown	TH R OW N
thus	DH AH S
tie	T AY
tied	T AY D
tiff	T IH F
till	T IH L
time	T AY M
timed	T AY M D
timid	T IH M IH D
tiny	T AY N IY
tip	T IH P
tire	T AY R
tired	T AY R D
to	T UW
today	T UH D EY
toe	T OW
together	T UH G EH DH AH R
told	T OW L D
tolerate	T AO L AH R EY T
toll	T OW L
tom	T AO M
tomb-stones	T UW M B S T OW N S
tombs	T UW M B Z
tombstones	T UW M B S T OW N S
toms	T AO M S
toms	T AO M Z
tones	T OW N S
tones	T OW N Z
tongue	T AH NG
too	T UW
took	T UH K
tools	T UW L S
tortoise	T AO R T OY Z
tortoises	T AO R T OY Z EH S
touch	T AH CH
toward	T UH W AH R D
towards	T UH W AH R D S
town	T AW N
track	T R AE K
transparent	T R AA N S P EH R EH N T
transparent	T R AA N S P R AH N T
trap	T R AE P
trapped	T R AE P D
tree	T R IY
tree-cutter	T R IY K AH T AH R
treecutter	T R IY K AH T AH R
trees	T R IY Z
tribe	T R AY B
tribes	T R AY B Z
trick	T R IH K
tricks	T R IH K S
tried	T R AY D
tries	T R AY Z
trip	T R IH P
trouble	T R AH B AH L
troubles	T R AH B AH L S
truck	T R AH K
trudged	T R AH JH D
true	T R UW
trunk	T R AH N K
trust	T R AH S T
truth	T R UH TH
try	T R AY
trying	T R AA IH NG
trying	T R AY IH NG
tugged	T AH G D
turn	T AH R N
turned	T AH R N D
turning	T AH R N IH NG
turtle	T AH R T AH L
twelve	T W EH L V
twelve	T W EH L W
two	T UW
types	T AY P S
un	AH N
unaware	AH N AH W EY R
under	AH N D AH R
understand	AH N D AH R S T AE N D
until	AH N T IH L
unusually	AH N Y UH JH UH AH L IY
up	AH P
upon	AH P AO N
upstream	AH P S T R IY M
us	AH S
use	Y UW Z
used	Y UW Z D
useful	Y UW Z F UH L
using	Y UW Z IH NG
usually	Y UH JH UH AH L IY
vain	V EY N
vain	W EY N
valuable	V AE L UH EY B AH L
valuable	W AE L UH EY B AH L
varieties	V AH R AY T IY Z
varieties	W AH R AY T IY Z
variety	V AH R AY T IY
variety	W AH R AY T IY
vegetables	V EH JH IH T EY B AH L S
vegetables	W EH JH IH T EY B AH L S
verdict	V AH R D IH K T
verdict	W AH R D IH K T
very	V EH R IY
very	W EH R IY
vessel	V EH S AH L
vessel	W EH S AH L
vessels	V EH S AH L S
vessels	W EH S AH L S
veterinary	V EH T R IH N AH R IY
veterinary	W EH T R IH N AH R IY
village	V IH L EY JH
village	W IH L EY JH
villager	V IH L EY JH AH R
villager	W IH L EY JH AH R
villagers	V IH L EY JH AH R S
villagers	V IH L EY JH AH R Z
villagers	W IH L EY JH AH R S
villagers	W IH L EY JH AH R Z
vines	V AY N S
vines	W AY N S
visible	V IH Z IH B AH L
visible	W IH Z IH B AH L
voice	V OY S
voice	W OY S
vote	V OW T
vote	W OW T
voted	V OW T EH D
voted	W OW T EH D
wait	W EY T
waited	W EY T EH D
walk	W AO K
walked	W AO K D
walking	W AO K IH NG
wall	W AO L
walnut	W AO L N AH T
walnuts	W AO L N AH T S
want	W AO N T
wanted	W AO N T EH D
wanting	W AO N T IH NG
war	W AO R
ware	W EY R
warned	W AO R N D
was	W AO Z
wash	W AO SH
washed	W AO SH D
washington	W AO SH IH NG T AH N
wasn't	W AO Z AH N T
watch	W AO CH
watching	W AO CH IH NG
water	W AO T AH R
watered	W AO T AH R D
waters	W AO T AH R S
wave	W EY V
wave	W EY W
way	W EY
ways	W EY Z
we	W IY
weak	W IY K
weaker	W IY K AH R
wear	W EY R
wearing	W EY R IH NG
weeks	W IY K S
weight	W EY T
well	W EH L
well-off	W EH L AO F
went	W EH N T
werdick	W EH R D IH K
were	W AH R
weren't	W AH R N T
what	W AO T
what	W HH AO T
what's	W AO T S
what's	W HH AO T S
whatever	W AO T EH V AH R
whatever	W AO T EH W AH R
whatever	W HH AO T EH V AH R
whatever	W HH AO T EH W AH R
whats	W HH AA T S
when	W EH N
when	W HH EH N
where	W EY R
where	W HH EY R
whether	W EH DH AH R
whether	W HH EH DH AH R
which	W IH CH
while	W AY L
while	W HH AY L
whip	W HH IH P
whispered	W HH IH S P AH R D
who	HH UW
whole	HH OW L
whose	HH UW Z
why	W HH AA Y
why	W HH AY
wife	W AY F
wife's	W AY F S
wild	W AY L D
will	W IH L
wind	W AY N D
wind	W IH N D
wing	W IH NG
wings	W IH NG Z
winning	W IH N IH NG
wiped	W AY P D
wisdom	W IH Z D AH M
wise	W AY Z
wish	W IH SH
wit	W IH T
with	W IH DH
with	W IH TH
without	W IH DH AW T
witnesses	W IH T N EH S EH S
woke	W OW K
wolf	W UW L F
wolve	W UW L V
wolve	W UW L W
wolves	W UW L V Z
wolves	W UW L W Z
won't	W OW N T
wondered	W AH N D AH R D
wood	W UH D
wood-cutter	W UH D K AH T AH R
woodcutter	W UH D K AH T AH R
woodman	W UH D M AE N
woodman	W UH D M AH N
woods	W UH D S
woodsman	W UH D S M AE N
woodsman	W UH D S M AH N
wool	W UH L
word	W AH R D
words	W AH R D S
wore	W OW R
work	W AH R K
worker	W AH R K AH R
working	W AH R K IH NG
world	W AH R L D
worried	W AH R IY D
worry	W AH R IY
worth	W AH R TH
would	W UH D
wouldn't	W UH D AH N T
wounded	W AW N D EH D
wounded	W UH N D EH D
write	R AY T
wrote	R OW T
yard	Y AA R D
year	Y AH R
yes	Y EH S
you	Y UW
young	Y AH NG
your	Y AO R
yours	Y AO R S
youth	Y UW TH
youths	Y UW TH S
zoo	Z UW
zoos	Z UW S
अ	AH
अंटर	AH N T AH R
अक्स	AH K S
अट्याटिंग	AH T Y AA T IH NG
अणि	AH N N IH
अन	AH N AH
अनि	AH N IH
अनी	AH N IY
अपोर्चड	AH P OW R CH AH D
अप्र	AH P R AH
अफ	AH F
अफेड	AH F EY D
अर	AH R AH
अस	AH S
अस्क	AH S K
अस्ट	AH S T
अ‍ॅ	AE
अ‍ॅत	AE TH
अ‍ॅनाय	AE N AA Y
अ‍ॅब्स	AE B S
अ‍ॅम्ब्रेस्टेट	AE M B R EH S T EY T
आ	AA
आक्स	AA K S
आक्सड	AA K S AH D
आशिआ	AA SH IH AA
आस	AA S
आसकेड	AA S AH K EY D
आस्कड	AA S K AH D
आस्केड	AA S K EY D
आस्ट	AA S T
इ	IH
इंग	IH NG
इड	IH D AH
इत	IH TH AH
इम	IH M
इर	IH R AH
ई	IY
ए	EY
एंस	EH N S
एक्स	EH K S
एक्सपेट	EH K S P EY T
एथर	EY TH AH R
एमब्रॅसेस्ड	EH M B R AE S EY S D
एम्बरेस	EH M B AH R EY S
एम्ब्रॅस्ड	EH M B R AE S D
एल	EY L
एस	EY S
एसिडन्स	EY S IH D AH N S
ऑ	AO
ऑप	AO P
ऑब	AO B
ऑर्थ	AO R TH
ओ	OW
ओल	OW L
ओवस	OW W AH S
क	K AH
कंडि	K AH N D IH
कन्स्टन्ट	K AH N S T AH N T
कान	K AA N
किन्ड	K IH N D
किप्ट	K IH P T
कुलप्रित	K UH L P R IH TH
कुल्ड	K UH L D
कॅ	K AE
कॅम	K AE M
कॅरि	K AE R IH
के	K EY
केट	K EY T
केन	K EY N
केम्स	K EY M S
कॉच	K AO CH
कॉन	K AO N
कॉन्स	K AO N S
को	K OW
कोमिट	K OW M IH T
क्रिएचर	K R IH EY CH AH R
क्रिएचर्स	K R IH EY CH AH R S
क्लॅ	K L AE
क्ल्या	K L Y AA
ग	G AH
गिट	G IH T
गुल्ड	G UH L D
गॉट्स	G AO T S
गोड	G OW D
गोस्ट	G OW S T
ग्रा	G R AA
ग्रेम्स	G R EY M S
ज	JH AH
जनी	JH AH N IY
जम्मि	JH AH M M IH
जे	JH EY
ट	T AH
टि	T IH
टिसिंग	T IH S IH NG
टीस	T IY S
टुम	T UH M
टुवेल	T UH W EY L
टे	T EY
टेड	T EY D
टो	T OW
टोक	T OW K
टोम्ब	T OW M B
टोम्बस्टोंस	T OW M B S T OW N S
टोम्स	T OW M S
टोर्न्स	T OW R N S
ट्म	T AH M
ट्रग	T R AH G
ट्राइज	T R AA IH JH
ट्रिब	T R IH B
ट्रिब्स	T R IH B S
ट्रॅ	T R AE
ट्रॅकल	T R AE K AH L
ट्रे	T R EY
ट्रो	T R OW
ट्रोंस	T R OW N S
ड	D AH
डा	D AA
डानज़िल	D AA N AH Z IH L
डि	D IH
डिफ	D IH F
डिफिक	D IH P HH IH K
डी	D IY
डेजिल	D EY JH IH L
डेन	D EY N
डॉन	D AO N
ड्रीन्ट	D R IY N T
ड्रोइंग	D R OW IH NG
तफ	TH AH P HH
तु	TH UH
तू	TH UW
त्रुत	TH R UH TH
त्रुथ	TH R UH TH
थ	TH AH
थो	TH OW
थोट	TH OW T
थ्रोन्स	TH R OW N S
द	DH AH
दट	DH AH T
दम	DH AH M
दर	DH AH R
दिद	DH IH DH
दिस	DH IH S
दी	DH IY
दॅ	DH AE
दॅत	DH AE TH
देनि	DH EY N IH
देम्स	DH EY M S
देलि	DH EY L IH
देव	DH EY W
द्या	DH Y AA
द्यानी	DH Y AA N IY
ध	DH HH AH
न	N AH
ना	N AA
नाय	N AA Y
नि	N IH
निनटी	N IH N T IY
नीट	N IY T
ने	N EY
नेदर	N EY DH AH R
नेमेड	N EY M EY D
नेव	N EY W
नेस	N EY S
नॉ	N AO
नोटीसेड	N OW T IY S EY D
नोन	N OW N
प	P AH
पा	P AA
पाइड	P AY D
पाओस	P AA OW S
पाठ	P AA T HH
पि	P IH
पिपड	P IH P AH D
पिपे	P IH P EY
पिसिस	P IH S IH S
पिसेस	P IH S EY S
पु	P UH
पॅ	P AE
पॅटर्स	P AE T AH R S
पेटर	P EY T AH R
पेटस	P EY T AH S
पेनेटली	P EY N EY T L IY
पेस्टि	P EY S T IH
पेस्टिकाइड्स	P EY S T IH K AA IH D S
पै	P EY
पो	P OW
पोल	P OW L
प्रि	P R IH
प्रेटेटिंग	P R EY T EY T IH NG
प्रो	P R OW
प्लकेट	P L AH K EY T
प्लिस	P L IH S
फ	P HH AH
फंट	P HH AH N T
फा	P HH AA
फि	P HH IH
फिम	P HH IH M
फीडी	P HH IY D IY
फील्ट	P HH IY L T
फु	P HH UH
फुर	P HH UH R
फॅ	P HH AE
फे	P HH EY
फेट	P HH EY T
फेडी	P HH EY D IY
फो	P HH OW
फ्रिडि	P HH R IH D IH
फ्रीडी	P HH R IY D IY
फ्रेड	P HH R EY D
फ्रॉट	P HH R AO T
ब	B AH
बबलु	B AH B L UH
बश	B AH SH
बा	B AA
बायसायकल	B AA Y S AA Y K AH L
बिसकुट्स	B IH S K UH T S
बु	B UH
बुस्टिंग	B UH S T IH NG
बॅ	B AE
बेट्रे	B EY T R EY
बॉ	B AO
बॉत	B AO TH
बो	B OW
ब्रिलाइंट	B R IH L AA IH N T
ब्रॅन्गिंग	B R AE NG G IH NG
ब्रॉ	B R AO
म	M AH
मध	M AH DH HH
मश	M AH SH
मस	M AH S
मा	M AA
मॅ	M AE
मेटर	M EY T AH R
मै	M EY
मो	M OW
य	Y AH
यड	Y AH D
यानी	Y AA N IY
ये	Y EY
योथ	Y OW TH
योथ्स	Y OW TH S
यौच	Y AO CH
र	R AH
रि	R IH
रिचेट	R IH CH EY T
रिन	R IH N
रिपि	R IH P IH
रिप्लायड	R IH P L AY D
रिली	R IH L IY
रिस	R IH S
री	R IY
रु	R UH
रॅन	R AE N
रे	R EY
रेष्टुरंट	R EY SH T UH R AH N T
ल	L AH
ला	L AA
लाउज	L AW JH
लाफ्टेड	L AA F T EY D
लि	L IH
लिजार्ड	L IH JH AA R D
लिटिल	L IH T IH L
लिट्ल	L IH T AH L
लिफ्स	L IH P HH S
ली	L IY
लु	L UH
लॉयन	L AO Y AH N
लो	L OW
लोयन	L OW Y AH N
व	W AH
वंड	W AH N D
वर	W AH R
वरेन्ट	W AH R EY N T
वल	W AH L
वा	W AA
वि	W IH
विज	W IH JH
विव	W IH W
वु	W UH
वुज	W UH JH
वुल्ट	W UH L T
वुल्ड	W UH L D
वे	W EY
वेंथ	W EY N TH
वेन	W EY N
वेन्थ	W EY N TH
वॉ	W AO
वॉलकेड	W AO L K EY D
वो	W OW
व्रु	W R UH
व्रोट	W R OW T
श	SH AH
शाव्ड	SH AA W D
शु	SH UH
शुल	SH UH L
शॉ	SH AO
शोट	SH OW T
शोन्स	SH OW N S
श्री	SH R IY
स	S AH
सदन्ली	S AH DH AH N L IY
सर्क्युम	S AH R K Y UH M
सा	S AA
साल्ट	S AA L T
सिंघ	S IH N G HH
सिग	S IH G
सुटेशन	S UH T EY SH AH N
सुरज	S UH R AH JH
सॅ	S AE
सेन	S EY N
सेर	S EY R
सोट	S OW T
सोरिंग	S OW R IH NG
सौ	S AO
स्के	S K EY
स्क्रेड	S K R EY D
स्ट	S T AH
स्टि	S T IH
स्टिप	S T IH P
स्टोम	S T OW M
स्ट्र्क	S T R AH K
स्पिस	S P IH S
स्मोट	S M OW T
स्मोर्ट	S M OW R T
स्लॅपेड	S L AE P EY D
ह	HH AH
हन	HH AH N
हय	HH AH Y
हा	HH AA
हायबरेटिंग	HH AA Y B AH R EY T IH N G
हिज	HH IH JH
हिडिंग	HH IH D IH NG
हिबरनेट	HH IH B AH R N EY T
हिबरनेटिंग	HH IH B AH R N EY T IH N G
हॅ	HH AE
हे	HH EY
हेरिंग	HH EY R IH NG
हेल्पेड	HH EY L P EY D
हो	HH OW
